Timestamp,roll,pitch,heading,rollRate,pitchRate,yawRate,groundSpeed,airSpeed,airSpeedSetpoint,climbRate,altitudeRelative,altitudeAMSL,altitudeTuning,altitudeTuningSetpoint,xTrackError,flightDistance,flightTime,distanceToHome,missionItemIndex,headingToNextWP,headingToHome,distanceToGCS,throttlePct,hobbs,battery0.id,battery0.batteryFunction,battery0.batteryType,battery0.voltage,battery0.current,battery0.mahConsumed,battery0.temperature,battery0.percentRemaining,battery0.timeRemaining,battery0.timeRemainingStr,battery0.chargeState,battery0.instantPower,clock.currentTime,clock.currentDate,distanceSensor.rotationNone,distanceSensor.rotationYaw45,distanceSensor.rotationYaw90,distanceSensor.rotationYaw135,distanceSensor.rotationYaw180,distanceSensor.rotationYaw225,distanceSensor.rotationYaw270,distanceSensor.rotationYaw315,distanceSensor.rotationPitch90,distanceSensor.rotationPitch270,distanceSensor.minDistance,distanceSensor.maxDistance,escStatus.index,escStatus.rpm1,escStatus.rpm2,escStatus.rpm3,escStatus.rpm4,escStatus.current1,escStatus.current2,escStatus.current3,escStatus.current4,escStatus.voltage1,escStatus.voltage2,escStatus.voltage3,escStatus.voltage4,estimatorStatus.goodAttitudeEsimate,estimatorStatus.goodHorizVelEstimate,estimatorStatus.goodVertVelEstimate,estimatorStatus.goodHorizPosRelEstimate,estimatorStatus.goodHorizPosAbsEstimate,estimatorStatus.goodVertPosAbsEstimate,estimatorStatus.goodVertPosAGLEstimate,estimatorStatus.goodConstPosModeEstimate,estimatorStatus.goodPredHorizPosRelEstimate,estimatorStatus.goodPredHorizPosAbsEstimate,estimatorStatus.gpsGlitch,estimatorStatus.accelError,estimatorStatus.velRatio,estimatorStatus.horizPosRatio,estimatorStatus.vertPosRatio,estimatorStatus.magRatio,estimatorStatus.haglRatio,estimatorStatus.tasRatio,estimatorStatus.horizPosAccuracy,estimatorStatus.vertPosAccuracy,gps.lat,gps.lon,gps.mgrs,gps.hdop,gps.vdop,gps.courseOverGround,gps.lock,gps.count,gps2.lat,gps2.lon,gps2.mgrs,gps2.hdop,gps2.vdop,gps2.courseOverGround,gps2.lock,gps2.count,hygrometer.temperature,hygrometer.humidity,hygrometer.hygrometerid,localPosition.x,localPosition.y,localPosition.z,localPosition.vx,localPosition.vy,localPosition.vz,localPositionSetpoint.x,localPositionSetpoint.y,localPositionSetpoint.z,localPositionSetpoint.vx,localPositionSetpoint.vy,localPositionSetpoint.vz,setpoint.roll,setpoint.pitch,setpoint.yaw,setpoint.rollRate,setpoint.pitchRate,setpoint.yawRate,temperature.temperature1,temperature.temperature2,temperature.temperature3,terrain.blocksPending,terrain.blocksLoaded,vibration.xAxis,vibration.yAxis,vibration.zAxis,vibration.clipCount1,vibration.clipCount2,vibration.clipCount3,wind.direction,wind.speed,wind.verticalSpeed
2022-11-27 15:13:58.626,0.1,-0.0,57,-1.7,0.2,-0.0,0.0,0.0,0.000,-0.6,2.0,446.1,1.949,0.000,0.000,0.0,00:00:10,0.0,0,0,--.--,--.--,63,0000:54:17,0,1,1,15.84,-1.00,0,--.--,100,--.--,--:--:--,1,-15.84,15:13:58,11/27/22,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,true,true,true,true,true,true,false,false,true,true,false,false,0.02,0.06,0.00,0.00,0.00,0.00,0.17,0.31,31.3637887,34.8771156,36RXV 78531 71442,0.0,0.0,172.9,3,15,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,0.2,0.1,-1.9,-0.0,-0.0,0.6,0.2,0.1,-2.0,-0.0,-0.0,0.6,0.0,-0.0,57.9,-0.8,-0.2,0.0,--.--,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2022-11-27 15:13:59.626,-0.1,-0.2,57,-0.5,-0.1,0.0,0.0,0.0,0.000,-0.7,1.4,445.5,1.357,0.000,0.000,0.0,00:00:11,0.0,0,0,--.--,--.--,61,0000:54:17,0,1,1,15.84,-1.00,0,--.--,100,--.--,--:--:--,1,-15.84,15:13:59,11/27/22,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,true,true,true,true,true,true,false,false,true,true,false,false,0.02,0.06,0.00,0.00,0.00,0.00,0.17,0.31,31.3637878,34.8771145,36RXV 78531 71442,0.0,0.0,166.8,3,15,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,0.1,0.1,-1.3,-0.0,-0.0,0.7,0.2,0.1,-1.3,0.0,0.0,0.7,-0.2,-0.3,57.9,-0.6,-0.2,-0.0,--.--,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2022-11-27 15:14:00.626,-0.1,-0.2,57,0.3,0.2,-0.0,0.0,0.0,0.000,-0.7,0.7,444.8,0.679,0.000,0.000,0.0,00:00:12,0.1,0,0,--.--,--.--,61,0000:54:17,0,1,1,15.77,-1.00,0,--.--,100,--.--,--:--:--,1,-15.77,15:14:00,11/27/22,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,true,true,true,true,true,true,false,false,true,true,false,false,0.01,0.02,0.01,0.00,0.00,0.00,0.17,0.33,31.3637899,34.8771135,36RXV 78531 71442,0.0,0.0,287.8,3,15,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,0.1,0.1,-0.6,0.0,0.0,0.7,0.2,0.1,-0.6,0.0,0.0,0.7,-0.1,-0.2,57.9,0.4,0.1,0.0,--.--,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2022-11-27 15:14:01.639,0.1,0.0,57,0.7,0.6,0.0,0.0,0.0,0.000,-0.7,0.1,444.1,-0.015,0.000,0.000,0.0,00:00:13,0.0,0,0,--.--,--.--,61,0000:54:17,0,1,1,15.77,-1.00,0,--.--,100,--.--,--:--:--,1,-15.77,15:14:01,11/27/22,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,true,true,true,true,true,true,false,false,true,true,false,false,0.01,0.02,0.01,0.00,0.00,0.00,0.17,0.33,31.3637920,34.8771144,36RXV 78531 71442,0.0,0.0,20.8,3,15,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,0.2,0.1,0.1,0.0,0.0,0.7,0.2,0.1,0.1,-0.0,0.0,0.7,0.2,0.1,57.9,0.7,0.5,0.0,--.--,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2022-11-27 15:14:02.627,0.3,0.2,57,0.0,0.0,0.1,0.0,0.0,0.000,-0.6,-0.4,443.7,-0.393,0.000,0.000,0.0,00:00:14,0.0,0,0,--.--,--.--,48,0000:54:17,0,1,1,15.69,-1.00,0,--.--,100,--.--,--:--:--,1,-15.69,15:14:02,11/27/22,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,true,true,true,true,true,true,false,false,true,true,false,false,0.24,0.01,0.00,0.00,0.00,0.00,0.17,0.33,31.3637899,34.8771138,36RXV 78531 71442,0.0,0.0,0.0,3,15,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,0.2,0.1,0.5,0.0,0.0,0.6,0.2,0.1,0.8,-0.0,0.0,1.0,0.4,0.1,57.9,1.0,-0.5,-0.0,--.--,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2022-11-27 15:14:03.636,0.3,0.2,57,-0.0,-0.0,0.1,0.0,0.0,0.000,-0.3,-0.3,443.7,-0.346,0.000,0.000,0.0,00:00:15,0.0,0,0,--.--,--.--,28,0000:54:17,0,1,1,15.69,-1.00,0,--.--,100,--.--,--:--:--,1,-15.69,15:14:03,11/27/22,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,true,true,true,true,true,true,false,false,true,true,false,false,0.24,0.01,0.00,0.00,0.00,0.00,0.17,0.33,31.3637901,34.8771149,36RXV 78531 71442,0.0,0.0,0.0,3,15,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,0.2,0.1,0.4,-0.0,0.0,0.3,0.2,0.1,1.5,-0.0,0.0,1.2,0.2,-0.1,57.9,-0.9,-1.6,0.0,--.--,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2022-11-27 15:14:04.636,0.3,0.2,57,0.0,-0.0,-0.0,0.0,0.0,0.000,-0.1,-0.3,443.8,-0.300,0.000,0.000,0.0,00:00:16,0.0,0,0,--.--,--.--,12,0000:54:17,0,1,1,15.62,-1.00,0,--.--,81,--.--,--:--:--,1,-15.62,15:14:04,11/27/22,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,true,true,true,true,true,true,false,false,true,true,false,false,0.07,0.07,0.00,0.00,0.00,0.00,0.17,0.33,31.3637895,34.8771141,36RXV 78531 71442,0.0,0.0,0.0,3,15,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,0.2,0.1,0.4,-0.0,-0.0,0.1,0.2,0.1,2.2,-0.0,0.0,1.2,0.2,-0.1,57.9,-0.8,-2.2,0.0,--.--,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2022-11-27 15:14:05.639,0.3,0.2,57,-0.0,-0.0,-0.0,0.0,0.0,0.000,0.0,-0.2,443.8,-0.254,0.000,0.000,0.0,00:00:17,0.0,0,0,--.--,--.--,0,0000:54:17,0,1,1,15.62,-1.00,0,--.--,81,--.--,--:--:--,1,-15.62,15:14:05,11/27/22,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,true,true,true,true,true,true,false,false,true,true,false,false,0.07,0.07,0.00,0.00,0.00,0.00,0.17,0.33,31.3637915,34.8771140,36RXV 78531 71442,0.0,0.0,0.0,3,15,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,0.2,0.1,0.3,-0.0,-0.0,-0.0,--.--,--.--,--.--,--.--,--.--,--.--,0.0,0.0,57.9,-1.9,-1.2,0.0,--.--,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2022-11-27 15:14:06.626,0.3,0.2,57,-0.0,0.1,-0.0,0.0,0.0,0.000,0.0,-0.1,443.9,-0.142,0.000,0.000,0.0,00:00:18,0.0,0,0,--.--,--.--,0,0000:54:17,0,1,1,15.55,-1.00,0,--.--,70,--.--,--:--:--,1,-15.55,15:14:06,11/27/22,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,true,true,true,true,true,true,true,false,true,true,false,false,0.00,0.03,0.00,0.00,0.00,0.00,0.11,0.26,31.3637897,34.8771150,36RXV 78531 71442,0.0,0.0,0.0,3,15,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,0.2,0.1,0.2,-0.0,-0.0,-0.0,--.--,--.--,--.--,--.--,--.--,--.--,0.0,0.0,57.9,-1.9,-1.1,0.0,--.--,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2022-11-27 15:14:07.627,0.3,0.2,57,0.0,0.0,-0.0,0.0,0.0,0.000,0.0,-0.1,443.9,-0.139,0.000,0.000,0.0,00:00:19,0.0,0,0,--.--,--.--,0,0000:54:17,0,1,1,15.55,-1.00,0,--.--,70,--.--,--:--:--,1,-15.55,15:14:07,11/27/22,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,true,true,true,true,true,true,true,false,true,true,false,false,0.00,0.03,0.00,0.00,0.00,0.00,0.11,0.26,31.3637902,34.8771152,36RXV 78531 71442,0.0,0.0,0.0,3,15,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,0.2,0.1,0.2,-0.0,0.0,-0.0,--.--,--.--,--.--,--.--,--.--,--.--,0.0,0.0,57.9,-1.9,-1.0,0.0,--.--,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2022-11-27 15:14:08.627,0.3,0.1,57,-0.0,-0.1,0.0,0.0,0.0,0.000,0.0,-0.1,443.9,-0.154,0.000,0.000,0.0,00:00:19,0.0,0,0,--.--,--.--,0,0000:54:17,0,1,1,15.94,-1.00,0,--.--,88,--.--,--:--:--,1,-15.94,15:14:08,11/27/22,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,true,true,true,true,true,true,true,false,true,true,false,false,0.00,0.03,0.01,0.00,0.00,0.00,0.09,0.24,31.3637904,34.8771127,36RXV 78531 71442,0.0,0.0,0.0,3,15,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,0.2,0.1,0.2,0.0,-0.0,-0.0,--.--,--.--,--.--,--.--,--.--,--.--,0.0,0.0,57.9,-1.8,-1.0,0.0,--.--,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
